"No."	"PosX"	"PosY"	"PosZ"	"FrontX"	"FrontY"	"FrontZ"	"LeftX"	"LeftY"	"LeftZ"	"UpX"	"UpY"	"UpZ"
601	84.014799	9.534467	2.265680	0.001807	-0.694402	-0.719585	-0.999953	-0.008133	0.005338	-0.009559	0.719542	-0.694383
602	84.015636	9.192563	1.900876	0.001562	-0.675339	-0.737506	-0.999949	-0.008440	0.005611	-0.010014	0.737459	-0.675317
603	84.016350	8.859846	1.527683	0.001300	-0.656248	-0.754544	-0.999946	-0.008655	0.005805	-0.010341	0.754495	-0.656224
604	84.016933	8.536235	1.146563	0.001015	-0.637503	-0.770447	-0.999944	-0.008787	0.005953	-0.010566	0.770398	-0.637476
605	84.017379	8.221640	0.757957	0.000726	-0.619311	-0.785145	-0.999943	-0.008801	0.006017	-0.010636	0.785096	-0.619283
606	84.017653	7.917093	0.361428	0.000397	-0.600707	-0.799469	-0.999944	-0.008679	0.006025	-0.010558	0.799422	-0.600677
607	84.017762	7.621718	-0.041971	0.000051	-0.581208	-0.813755	-0.999947	-0.008432	0.005959	-0.010325	0.813711	-0.581177
608	84.017705	7.335890	-0.452190	-0.000318	-0.560968	-0.827838	-0.999951	-0.008042	0.005834	-0.009930	0.827799	-0.560937
609	84.017453	7.060116	-0.869241	-0.000713	-0.540134	-0.841579	-0.999956	-0.007488	0.005653	-0.009355	0.841546	-0.540105
610	84.016984	6.795942	-1.293734	-0.001141	-0.518867	-0.854854	-0.999963	-0.006733	0.005421	-0.008568	0.854829	-0.518840
611	84.016296	6.542058	-1.724452	-0.001598	-0.497325	-0.867563	-0.999970	-0.005802	0.005168	-0.007604	0.867545	-0.497300
612	84.015386	6.298560	-2.161126	-0.002089	-0.475615	-0.879651	-0.999977	-0.004647	0.004887	-0.006412	0.879641	-0.475594
613	84.014225	6.065711	-2.603577	-0.002605	-0.453819	-0.891090	-0.999984	-0.003250	0.004579	-0.004974	0.891088	-0.453803
614	84.012772	5.844863	-3.052139	-0.003160	-0.432008	-0.901864	-0.999990	-0.001603	0.004271	-0.003291	0.901868	-0.431999
615	84.011044	5.634499	-3.505704	-0.003745	-0.410143	-0.912013	-0.999992	0.000287	0.003977	-0.001369	0.912021	-0.410141
616	84.009030	5.434656	-3.964002	-0.004355	-0.388044	-0.921631	-0.999990	0.002443	0.003696	0.000818	0.921638	-0.388051
617	84.006721	5.245771	-4.426927	-0.004897	-0.365229	-0.930905	-0.999983	0.004810	0.003373	0.003246	0.930905	-0.365246
618	84.004182	5.069686	-4.894869	-0.005179	-0.341582	-0.939838	-0.999969	0.007278	0.002865	0.005862	0.939824	-0.341610
619	84.001569	4.905091	-5.366967	-0.005204	-0.317471	-0.948254	-0.999951	0.009691	0.002243	0.008478	0.948219	-0.317505
620	83.999010	4.752138	-5.842965	-0.004952	-0.293136	-0.956058	-0.999927	0.011993	0.001502	0.011026	0.955996	-0.293174
621	83.996631	4.611116	-6.322641	-0.004429	-0.268794	-0.963187	-0.999901	0.014089	0.000666	0.013391	0.963095	-0.268830
622	83.994643	4.483437	-6.806042	-0.003570	-0.244667	-0.969601	-0.999875	0.015784	-0.000302	0.015378	0.969479	-0.244693
623	83.993134	4.367277	-7.292335	-0.002409	-0.220822	-0.975311	-0.999854	0.017021	-0.001384	0.016906	0.975166	-0.220831
624	83.992257	4.262483	-7.781207	-0.000931	-0.197314	-0.980340	-0.999840	0.017706	-0.002614	0.017874	0.980180	-0.197299
625	83.992185	4.169114	-8.272396	0.000888	-0.174177	-0.984714	-0.999836	0.017649	-0.004023	0.018080	0.984556	-0.174133
626	83.993208	4.088363	-8.765816	0.003075	-0.151427	-0.988464	-0.999844	0.016701	-0.005669	0.017366	0.988327	-0.151352
627	83.995368	4.018462	-9.260880	0.005597	-0.128948	-0.991636	-0.999862	0.014814	-0.007570	0.015666	0.991541	-0.128847
628	83.998817	3.959301	-9.757337	0.008452	-0.106613	-0.994265	-0.999882	0.011878	-0.009774	0.012852	0.994230	-0.106500
629	84.003745	3.911096	-10.254968	0.011655	-0.084124	-0.996387	-0.999893	0.007797	-0.012354	0.008808	0.996425	-0.084025
630	84.010541	3.875340	-10.753627	0.015232	-0.061349	-0.998000	-0.999879	0.002305	-0.015402	0.003245	0.998114	-0.061307
631	84.019095	3.850578	-11.252919	0.018719	-0.038354	-0.999089	-0.999818	-0.004496	-0.018560	-0.003781	0.999254	-0.038431
632	84.029115	3.836892	-11.752611	0.021037	-0.015216	-0.999663	-0.999706	-0.012368	-0.020849	-0.012047	0.999808	-0.015472
633	84.039894	3.834556	-12.252474	0.021707	0.007958	-0.999733	-0.999540	-0.020990	-0.021870	-0.021158	0.999748	0.007499
634	84.050529	3.844947	-12.752238	0.020535	0.031027	-0.999308	-0.999324	-0.029841	-0.021462	-0.030486	0.999073	0.030394
635	84.060182	3.866366	-13.251665	0.017726	0.053888	-0.998390	-0.999065	-0.038431	-0.019812	-0.039437	0.997807	0.053157
636	84.068099	3.898688	-13.750536	0.013272	0.076431	-0.996987	-0.998780	-0.046408	-0.016854	-0.047556	0.995994	0.075722
